symbol,companyName,exchange,ipoDate,delistedDate
ALIN-P-A,Altera Infrastructure L.P,NYSE,2014-09-22,2022-08-19
RBAC,RedBall Acquisition Corp - Class A,NYSE,2020-10-05,2022-08-19
GASX,DIREXION DAILY NATURAL GAS RELATED BEAR 3X SHARES ,NYSE ARCA,2015-12-03,2022-08-19
BSCL,INVESCO BULLETSHARES 2021 CORPORATE BOND ETF ,NASDAQ,2013-07-17,2022-08-19
IBBJ,DEFIANCE NASDAQ JUNIOR BIOTECHNOLOGY ETF ,NASDAQ,2020-08-04,2022-08-19
GOAC,GO Acquisition Corp - Class A,NYSE,2020-09-25,2022-08-19
KNL,Knoll Inc,NYSE,2004-12-14,2022-08-19
HYACU,biote Corp - Units (1 Ord Share Class A & 1/4 War),NASDAQ,2021-03-02,2022-08-19
SPXZ,Morgan Creek - Exos SPAC Originated ETF,NYSE ARCA,2021-01-26,2022-08-19
VEDL,Vedanta Ltd,NYSE,2007-06-20,2022-08-19
CROC,ProShares UltraShort Australian Dollar,NYSE ARCA,2012-07-19,2022-08-19
FPAC-U,Far Point Acquisition Corp - Units (1 Cls A Ord & 1/3 War),NYSE,2018-06-12,2022-08-19
CEO,Cnooc Ltd,NYSE,2001-02-27,2022-08-19
PVG,Pretium Resources Inc,NYSE,2011-03-03,2022-08-19
LBJ,DIREXION DAILY LATIN AMERICA BULL 3X SHARES ,NYSE ARCA,2009-12-03,2022-08-19
ARD,Ardagh Group S.A. - Class A,NYSE,2017-03-15,2022-08-19
CHU,China Unicom (Hong Kong) Ltd,NYSE,2000-06-21,2022-08-19
ERUS,iShares MSCI Russia ETF,NYSE ARCA,2010-11-10,2022-08-19
MBT,Mobile Telesystems PJSC,NYSE,2000-06-30,2022-08-19
JPNL,DIREXION DAILY MSCI JAPAN BULL 3X SHARES ,NYSE ARCA,2013-06-26,2022-08-19
DDG,ProShares Short Oil & Gas,NYSE ARCA,2008-06-18,2022-08-19
SBM,ProShares Short Basic Materials,NYSE ARCA,2010-03-18,2022-08-19
MVP,Roundhill Pro Sports Media & Apparel ETF,NYSE ARCA,2021-03-17,2022-08-19
LN,Line Corporation,NYSE,2016-07-14,2022-08-19
PRH,Prudential Financial Inc,NYSE,2013-03-27,2022-08-19
CYPS,Cyclo3pss Corp,NASDAQ,2007-07-16,2022-08-19
SUBZ,Roundhill Streaming Services & Technology ETF,NYSE ARCA,2021-02-10,2022-08-19
CHL,China Mobile Ltd,NYSE,1997-10-22,2022-08-19
MBAY,Mediabay Inc,NASDAQ,2017-09-29,2022-08-19
ATC,Atotech Ltd,NYSE,2021-02-04,2022-08-19
GSV,Gold Standard Ventures Corp,NYSE MKT,2012-06-08,2022-08-17
RBAC-U,RedBall Acquisition Corp - Units (1 Ord Class A & 1/3 War),NYSE,2020-08-13,2022-08-16
TEOZF,Altera Infrastructure L.P,NYSE,2018-01-17,2022-08-16
SAIL,SailPoint Technologies Holdings Inc,NYSE,2017-11-17,2022-08-16
GOAC-U,GO Acquisition Corp - Units (1 Ord Share Class A & 1/3 War),NYSE,2020-08-05,2022-08-16
LEAP,Ribbit LEAP Ltd - Class A,NYSE,2020-11-02,2022-08-16
RBAC-WS,RedBall Acquisition Corp - Warrants(17/08/2022),NYSE,2020-10-05,2022-08-16
NSR,Nomad Royalty Company Ltd,NYSE,2021-06-03,2022-08-15
LEAP-U,Ribbit LEAP Ltd - Units (1 Ord Share Class A & 1/5 War),NYSE,2020-09-11,2022-08-12
EQD-WS,Equity Distribution Acquisition Corp - Warrants (09/09/2025),NYSE,2020-11-06,2022-08-10
CERN,Cerner Corp,NASDAQ,1990-03-26,2022-08-09
CHWA,CHW Acquisition Corp,NASDAQ,2021-09-27,2022-08-09
GTYH,GTY Technology Holdings Inc,NASDAQ,2016-11-18,2022-08-09
OBCI,Ocean Bio-Chem Inc,NASDAQ,1995-07-13,2022-08-09
XENT,Intersect ENT Inc,NASDAQ,2014-07-24,2022-08-09
HMHC,Houghton Mifflin Harcourt Company,NASDAQ,2013-11-14,2022-08-09
NTUS,Natus Medical Inc,NASDAQ,2001-07-31,2022-08-09
SAFM,Sanderson Farms Inc,NASDAQ,1989-12-20,2022-08-09
CDK,CDK Global Inc,NASDAQ,2014-09-24,2022-08-09
ISBC,Investors Bancorp Inc,NASDAQ,2005-10-12,2022-08-09
SREV,ServiceSource International Inc,NASDAQ,2011-03-25,2022-08-09
MBII,Pro Farm Group Inc,NASDAQ,2013-08-02,2022-08-09
DISCK,Warner Bros. Discovery Inc - Series C,NASDAQ,2008-09-18,2022-08-09
MCFE,McAfee Corp - Class A,NASDAQ,2020-10-22,2022-08-09
ACC,American Campus Communities Inc,NYSE,2004-08-12,2022-08-09
ECOL,US Ecology Inc,NASDAQ,1990-03-26,2022-08-09
MILE,Metromile Inc,NASDAQ,2020-11-09,2022-08-09
CHWAU,CHW Acquisition Corp - Units (1 Ord & 1 War),NASDAQ,2021-08-30,2022-08-09
JOBS,51Job Inc,NASDAQ,2004-09-29,2022-08-09
